,Month,P,months,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,t,t_squared,log_P
0,Jan-1995,112,Jan,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4.718498871295094
1,Feb-1995,118,Feb,0,0,0,1,0,0,0,0,0,0,0,0,2,4,4.770684624465665
2,Mar-1995,132,Mar,0,0,0,0,0,0,0,1,0,0,0,0,3,9,4.882801922586371
3,Apr-1995,129,Apr,1,0,0,0,0,0,0,0,0,0,0,0,4,16,4.859812404361672
4,May-1995,121,May,0,0,0,0,0,0,0,0,1,0,0,0,5,25,4.795790545596741
5,Jun-1995,135,Jun,0,0,0,0,0,0,1,0,0,0,0,0,6,36,4.90527477843843
6,Jul-1995,148,Jul,0,0,0,0,0,1,0,0,0,0,0,0,7,49,4.997212273764115
7,Aug-1995,148,Aug,0,1,0,0,0,0,0,0,0,0,0,0,8,64,4.997212273764115
8,Sep-1995,136,Sep,0,0,0,0,0,0,0,0,0,0,0,1,9,81,4.912654885736052
9,Oct-1995,119,Oct,0,0,0,0,0,0,0,0,0,0,1,0,10,100,4.77912349311153
10,Nov-1995,104,Nov,0,0,0,0,0,0,0,0,0,1,0,0,11,121,4.6443908991413725
11,Dec-1995,118,Dec,0,0,1,0,0,0,0,0,0,0,0,0,12,144,4.770684624465665
12,Jan-1996,115,Jan,0,0,0,0,1,0,0,0,0,0,0,0,13,169,4.74493212836325
13,Feb-1996,126,Feb,0,0,0,1,0,0,0,0,0,0,0,0,14,196,4.836281906951478
14,Mar-1996,141,Mar,0,0,0,0,0,0,0,1,0,0,0,0,15,225,4.948759890378168
15,Apr-1996,135,Apr,1,0,0,0,0,0,0,0,0,0,0,0,16,256,4.90527477843843
16,May-1996,125,May,0,0,0,0,0,0,0,0,1,0,0,0,17,289,4.8283137373023015
17,Jun-1996,149,Jun,0,0,0,0,0,0,1,0,0,0,0,0,18,324,5.003946305945459
18,Jul-1996,170,Jul,0,0,0,0,0,1,0,0,0,0,0,0,19,361,5.135798437050262
19,Aug-1996,170,Aug,0,1,0,0,0,0,0,0,0,0,0,0,20,400,5.135798437050262
20,Sep-1996,158,Sep,0,0,0,0,0,0,0,0,0,0,0,1,21,441,5.062595033026967
21,Oct-1996,133,Oct,0,0,0,0,0,0,0,0,0,0,1,0,22,484,4.890349128221754
22,Nov-1996,114,Nov,0,0,0,0,0,0,0,0,0,1,0,0,23,529,4.736198448394496
23,Dec-1996,140,Dec,0,0,1,0,0,0,0,0,0,0,0,0,24,576,4.941642422609304
24,Jan-1997,145,Jan,0,0,0,0,1,0,0,0,0,0,0,0,25,625,4.976733742420574
25,Feb-1997,150,Feb,0,0,0,1,0,0,0,0,0,0,0,0,26,676,5.0106352940962555
26,Mar-1997,178,Mar,0,0,0,0,0,0,0,1,0,0,0,0,27,729,5.181783550292085
27,Apr-1997,163,Apr,1,0,0,0,0,0,0,0,0,0,0,0,28,784,5.093750200806762
28,May-1997,172,May,0,0,0,0,0,0,0,0,1,0,0,0,29,841,5.147494476813453
29,Jun-1997,178,Jun,0,0,0,0,0,0,1,0,0,0,0,0,30,900,5.181783550292085
30,Jul-1997,199,Jul,0,0,0,0,0,1,0,0,0,0,0,0,31,961,5.293304824724492
31,Aug-1997,199,Aug,0,1,0,0,0,0,0,0,0,0,0,0,32,1024,5.293304824724492
32,Sep-1997,184,Sep,0,0,0,0,0,0,0,0,0,0,0,1,33,1089,5.214935757608986
33,Oct-1997,162,Oct,0,0,0,0,0,0,0,0,0,0,1,0,34,1156,5.087596335232384
34,Nov-1997,146,Nov,0,0,0,0,0,0,0,0,0,1,0,0,35,1225,4.983606621708336
35,Dec-1997,166,Dec,0,0,1,0,0,0,0,0,0,0,0,0,36,1296,5.111987788356544
36,Jan-1998,171,Jan,0,0,0,0,1,0,0,0,0,0,0,0,37,1369,5.14166355650266
37,Feb-1998,180,Feb,0,0,0,1,0,0,0,0,0,0,0,0,38,1444,5.19295685089021
38,Mar-1998,193,Mar,0,0,0,0,0,0,0,1,0,0,0,0,39,1521,5.262690188904886
39,Apr-1998,181,Apr,1,0,0,0,0,0,0,0,0,0,0,0,40,1600,5.198497031265826
40,May-1998,183,May,0,0,0,0,0,0,0,0,1,0,0,0,41,1681,5.209486152841421
41,Jun-1998,218,Jun,0,0,0,0,0,0,1,0,0,0,0,0,42,1764,5.384495062789089
42,Jul-1998,230,Jul,0,0,0,0,0,1,0,0,0,0,0,0,43,1849,5.438079308923196
43,Aug-1998,242,Aug,0,1,0,0,0,0,0,0,0,0,0,0,44,1936,5.488937726156687
44,Sep-1998,209,Sep,0,0,0,0,0,0,0,0,0,0,0,1,45,2025,5.342334251964811
45,Oct-1998,191,Oct,0,0,0,0,0,0,0,0,0,0,1,0,46,2116,5.25227342804663
46,Nov-1998,172,Nov,0,0,0,0,0,0,0,0,0,1,0,0,47,2209,5.147494476813453
47,Dec-1998,194,Dec,0,0,1,0,0,0,0,0,0,0,0,0,48,2304,5.267858159063328
48,Jan-1999,196,Jan,0,0,0,0,1,0,0,0,0,0,0,0,49,2401,5.278114659230517
49,Feb-1999,196,Feb,0,0,0,1,0,0,0,0,0,0,0,0,50,2500,5.278114659230517
50,Mar-1999,236,Mar,0,0,0,0,0,0,0,1,0,0,0,0,51,2601,5.4638318050256105
51,Apr-1999,235,Apr,1,0,0,0,0,0,0,0,0,0,0,0,52,2704,5.459585514144159
52,May-1999,229,May,0,0,0,0,0,0,0,0,1,0,0,0,53,2809,5.43372200355424
53,Jun-1999,243,Jun,0,0,0,0,0,0,1,0,0,0,0,0,54,2916,5.493061443340548
54,Jul-1999,264,Jul,0,0,0,0,0,1,0,0,0,0,0,0,55,3025,5.575949103146316
55,Aug-1999,272,Aug,0,1,0,0,0,0,0,0,0,0,0,0,56,3136,5.605802066295998
56,Sep-1999,237,Sep,0,0,0,0,0,0,0,0,0,0,0,1,57,3249,5.4680601411351315
57,Oct-1999,211,Oct,0,0,0,0,0,0,0,0,0,0,1,0,58,3364,5.351858133476067
58,Nov-1999,180,Nov,0,0,0,0,0,0,0,0,0,1,0,0,59,3481,5.19295685089021
59,Dec-1999,201,Dec,0,0,1,0,0,0,0,0,0,0,0,0,60,3600,5.303304908059076
60,Jan-2000,204,Jan,0,0,0,0,1,0,0,0,0,0,0,0,61,3721,5.318119993844216
61,Feb-2000,188,Feb,0,0,0,1,0,0,0,0,0,0,0,0,62,3844,5.236441962829949
62,Mar-2000,235,Mar,0,0,0,0,0,0,0,1,0,0,0,0,63,3969,5.459585514144159
63,Apr-2000,227,Apr,1,0,0,0,0,0,0,0,0,0,0,0,64,4096,5.424950017481403
64,May-2000,234,May,0,0,0,0,0,0,0,0,1,0,0,0,65,4225,5.455321115357702
65,Jun-2000,264,Jun,0,0,0,0,0,0,1,0,0,0,0,0,66,4356,5.575949103146316
66,Jul-2000,302,Jul,0,0,0,0,0,1,0,0,0,0,0,0,67,4489,5.71042701737487
67,Aug-2000,293,Aug,0,1,0,0,0,0,0,0,0,0,0,0,68,4624,5.680172609017068
68,Sep-2000,259,Sep,0,0,0,0,0,0,0,0,0,0,0,1,69,4761,5.556828061699537
69,Oct-2000,229,Oct,0,0,0,0,0,0,0,0,0,0,1,0,70,4900,5.43372200355424
70,Nov-2000,203,Nov,0,0,0,0,0,0,0,0,0,1,0,0,71,5041,5.313205979041787
71,Dec-2000,229,Dec,0,0,1,0,0,0,0,0,0,0,0,0,72,5184,5.43372200355424
72,Jan-2001,242,Jan,0,0,0,0,1,0,0,0,0,0,0,0,73,5329,5.488937726156687
73,Feb-2001,233,Feb,0,0,0,1,0,0,0,0,0,0,0,0,74,5476,5.4510384535657
74,Mar-2001,267,Mar,0,0,0,0,0,0,0,1,0,0,0,0,75,5625,5.58724865840025
75,Apr-2001,269,Apr,1,0,0,0,0,0,0,0,0,0,0,0,76,5776,5.594711379601839
76,May-2001,270,May,0,0,0,0,0,0,0,0,1,0,0,0,77,5929,5.598421958998375
77,Jun-2001,315,Jun,0,0,0,0,0,0,1,0,0,0,0,0,78,6084,5.752572638825633
78,Jul-2001,364,Jul,0,0,0,0,0,1,0,0,0,0,0,0,79,6241,5.8971538676367405
79,Aug-2001,347,Aug,0,1,0,0,0,0,0,0,0,0,0,0,80,6400,5.849324779946859
80,Sep-2001,312,Sep,0,0,0,0,0,0,0,0,0,0,0,1,81,6561,5.7430031878094825
81,Oct-2001,274,Oct,0,0,0,0,0,0,0,0,0,0,1,0,82,6724,5.6131281063880705
82,Nov-2001,237,Nov,0,0,0,0,0,0,0,0,0,1,0,0,83,6889,5.4680601411351315
83,Dec-2001,278,Dec,0,0,1,0,0,0,0,0,0,0,0,0,84,7056,5.627621113690637
84,Jan-2002,284,Jan,0,0,0,0,1,0,0,0,0,0,0,0,85,7225,5.648974238161206
85,Feb-2002,277,Feb,0,0,0,1,0,0,0,0,0,0,0,0,86,7396,5.6240175061873385
86,Mar-2002,317,Mar,0,0,0,0,0,0,0,1,0,0,0,0,87,7569,5.75890177387728
87,Apr-2002,313,Apr,1,0,0,0,0,0,0,0,0,0,0,0,88,7744,5.746203190540153
88,May-2002,318,May,0,0,0,0,0,0,0,0,1,0,0,0,89,7921,5.762051382780177
89,Jun-2002,374,Jun,0,0,0,0,0,0,1,0,0,0,0,0,90,8100,5.924255797414532
90,Jul-2002,413,Jul,0,0,0,0,0,1,0,0,0,0,0,0,91,8281,6.023447592961033
91,Aug-2002,405,Aug,0,1,0,0,0,0,0,0,0,0,0,0,92,8464,6.003887067106539
92,Sep-2002,355,Sep,0,0,0,0,0,0,0,0,0,0,0,1,93,8649,5.872117789475416
93,Oct-2002,306,Oct,0,0,0,0,0,0,0,0,0,0,1,0,94,8836,5.723585101952381
94,Nov-2002,271,Nov,0,0,0,0,0,0,0,0,0,1,0,0,95,9025,5.602118820879701
95,Dec-2002,306,Dec,0,0,1,0,0,0,0,0,0,0,0,0,96,9216,5.723585101952381
